system:index,date,id,mean,.geo
20200501T00_0,2020-05-01,Point1,2.1618664E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T01_0,2020-05-01,Point1,1069479.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T02_0,2020-05-01,Point1,2597667.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T03_0,2020-05-01,Point1,5079607.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T04_0,2020-05-01,Point1,7937570.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T05_0,2020-05-01,Point1,1.0992517E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T06_0,2020-05-01,Point1,1.3752592E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T07_0,2020-05-01,Point1,1.6007026E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T08_0,2020-05-01,Point1,1.7620994E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T09_0,2020-05-01,Point1,1.8541306E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T10_0,2020-05-01,Point1,1.8847164E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T11_0,2020-05-01,Point1,1.885793E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T12_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T13_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T14_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T15_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T16_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T17_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T18_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T19_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T20_0,2020-05-01,Point1,1.8857932E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T21_0,2020-05-01,Point1,1.8863104E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T22_0,2020-05-01,Point1,1.894964E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200501T23_0,2020-05-01,Point1,1.9237428E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T00_0,2020-05-02,Point1,1.9733808E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T01_0,2020-05-02,Point1,904255.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T02_0,2020-05-02,Point1,2256064.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T03_0,2020-05-02,Point1,3844293.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T04_0,2020-05-02,Point1,5143049.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T05_0,2020-05-02,Point1,6081904.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T06_0,2020-05-02,Point1,6974314.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T07_0,2020-05-02,Point1,8593006.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T08_0,2020-05-02,Point1,9717714.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T09_0,2020-05-02,Point1,1.0144634E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T10_0,2020-05-02,Point1,1.0328624E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T11_0,2020-05-02,Point1,1.0335842E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T12_0,2020-05-02,Point1,1.0335842E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T13_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T14_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T15_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T16_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T17_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T18_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T19_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T20_0,2020-05-02,Point1,1.033584E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T21_0,2020-05-02,Point1,1.0349424E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T22_0,2020-05-02,Point1,1.0636596E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200502T23_0,2020-05-02,Point1,1.1323428E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T00_0,2020-05-03,Point1,1.2637296E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T01_0,2020-05-03,Point1,1925173.25,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T02_0,2020-05-03,Point1,4256308.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T03_0,2020-05-03,Point1,6781364.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T04_0,2020-05-03,Point1,9323493.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T05_0,2020-05-03,Point1,1.122051E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T06_0,2020-05-03,Point1,1.2701182E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T07_0,2020-05-03,Point1,1.4522532E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T08_0,2020-05-03,Point1,1.5855198E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T09_0,2020-05-03,Point1,1.6635376E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T10_0,2020-05-03,Point1,1.6889464E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T11_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T12_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T13_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T14_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T15_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T16_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T17_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T18_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T19_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T20_0,2020-05-03,Point1,1.6902196E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T21_0,2020-05-03,Point1,1.6917504E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T22_0,2020-05-03,Point1,1.7229154E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200503T23_0,2020-05-03,Point1,1.8124588E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T00_0,2020-05-04,Point1,1.9623526E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T01_0,2020-05-04,Point1,2150184.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T02_0,2020-05-04,Point1,4798686.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T03_0,2020-05-04,Point1,7580264.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T04_0,2020-05-04,Point1,1.0701459E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T05_0,2020-05-04,Point1,1.3855947E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T06_0,2020-05-04,Point1,1.6713998E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T07_0,2020-05-04,Point1,1.904776E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T08_0,2020-05-04,Point1,2.0694526E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T09_0,2020-05-04,Point1,2.1626806E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T10_0,2020-05-04,Point1,2.1951998E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T11_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T12_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T13_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T14_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T15_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T16_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T17_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T18_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T19_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T20_0,2020-05-04,Point1,2.1966478E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T21_0,2020-05-04,Point1,2.1984302E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T22_0,2020-05-04,Point1,2.2188816E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200504T23_0,2020-05-04,Point1,2.2521852E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T00_0,2020-05-05,Point1,2.2663892E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T01_0,2020-05-05,Point1,395091.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T02_0,2020-05-05,Point1,1415668.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T03_0,2020-05-05,Point1,2132534.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T04_0,2020-05-05,Point1,3107664.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T05_0,2020-05-05,Point1,3280060.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T06_0,2020-05-05,Point1,3435450.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T07_0,2020-05-05,Point1,3847992.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T08_0,2020-05-05,Point1,4683164.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T09_0,2020-05-05,Point1,5651666.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T10_0,2020-05-05,Point1,6001192.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T11_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T12_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T13_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T14_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T15_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T16_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T17_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T18_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T19_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T20_0,2020-05-05,Point1,6017848.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T21_0,2020-05-05,Point1,6038784.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T22_0,2020-05-05,Point1,6373744.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200505T23_0,2020-05-05,Point1,7302290.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200506T00_0,2020-05-06,Point1,8870616.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200506T01_0,2020-05-06,Point1,2286909.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200506T02_0,2020-05-06,Point1,5192892.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
20200506T03_0,2020-05-06,Point1,8446326.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801]}"
