system:index,date,day,month,solar_radiation,year,.geo
20180101,2018-01-01,1.0,1.0,1.04708E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102,2018-01-02,2.0,1.0,1.0200704E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103,2018-01-03,3.0,1.0,1.0605236E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104,2018-01-04,4.0,1.0,7805284.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180105,2018-01-05,5.0,1.0,9018724.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180106,2018-01-06,6.0,1.0,1.0810496E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180107,2018-01-07,7.0,1.0,5683668.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180108,2018-01-08,8.0,1.0,6833956.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180109,2018-01-09,9.0,1.0,8472016.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180110,2018-01-10,10.0,1.0,1.118486E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180111,2018-01-11,11.0,1.0,1.1382844E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180112,2018-01-12,12.0,1.0,1.1563352E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180113,2018-01-13,13.0,1.0,7174420.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114,2018-01-14,14.0,1.0,8402700.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180115,2018-01-15,15.0,1.0,1.0189532E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180116,2018-01-16,16.0,1.0,4376536.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180117,2018-01-17,17.0,1.0,8591304.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180118,2018-01-18,18.0,1.0,1.079214E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180119,2018-01-19,19.0,1.0,1.1716012E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180120,2018-01-20,20.0,1.0,8378216.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180121,2018-01-21,21.0,1.0,1.1898892E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180122,2018-01-22,22.0,1.0,7654792.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180123,2018-01-23,23.0,1.0,1.2713184E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124,2018-01-24,24.0,1.0,1.3110764E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
