park_id,date,visitors,Perceived_Temp,Heat_Index,windspeed_kmh,solar(W/m²),humidity(%),Temp,Tnwb_Stull,Tg,WBGT_Outdoor
951,2014-01-01,7084,6.634749282,239.8905114,11.16,128.4722222,42,8.5,-3.1,14.66008628,1.612017256
951,2014-01-02,1492,6.94092106,193.8642786,6.84,112.3640741,32,8,-5.6,14.45777194,-0.228445611
951,2014-01-03,1512,,163.6791615,6.12,103.2918056,28,10.6,-3.8,16.92834904,1.785669808
951,2014-01-04,2920,2.071415516,377.5153198,7.2,134.2592593,79,3.9,-0.3,10.88470243,2.356940486
951,2014-01-05,3973,2.027026889,214.566853,8.64,133.1018519,33,4.2,-9.2,10.88050208,-3.843899584
951,2014-01-06,923,4.43414583,263.7460094,10.08,134.2592593,45,6.5,-4.5,12.96443061,0.092886121
951,2014-01-07,1286,,251.6141217,3.96,102.7501389,44,7.9,-3.3,14.68247979,1.416495958
951,2014-01-08,751,0.728567012,388.1856009,10.08,43.16851852,86,3.4,0.6,7.065571766,2.173114353
951,2014-01-09,763,-5.864516364,366.5489003,15.48,108.6611111,57,-1.1,-9.7,4.062705686,-6.087458863
951,2014-01-10,987,-0.379297336,319.5488724,9.72,111.385787,52,2.4,-7.2,8.341573067,-3.131685387
951,2014-01-11,3121,1.626976297,346.6610092,5.76,92.08967593,61,3.1,-4.7,9.143205663,-1.151358867
951,2014-01-12,3678,1.794968997,318.75109,11.88,104.239537,56,4.6,-4.2,10.05673152,-0.468653695
951,2014-01-13,785,-4.690086488,223.0976932,11.16,143.5185185,31,-0.9,-14.7,5.610826888,-9.257834622
951,2014-01-14,1078,-0.883340228,270.6035287,9.36,144.6759259,41,1.9,-9.9,8.734165118,-4.993166976
951,2014-01-15,1067,-0.868425012,288.1107875,11.88,144.6759259,45,2.4,-8.6,8.828571596,-4.014285681
951,2014-01-16,914,1.352343351,293.5368889,12.96,140.0462963,49,4.4,-5.8,10.57433061,-1.505133877
951,2014-01-17,1127,3.221571177,321.3843842,6.48,135.4166667,57,4.7,-3.9,11.86634092,0.113268184
951,2014-01-18,2543,-2.803212679,348.2079144,21.6,82.67597222,59,2.1,-6.1,6.14376699,-2.831246602
951,2014-01-19,3465,2.658555998,226.9353678,5.76,145.8333333,35,4,-9,11.60484389,-3.579031222
951,2014-01-20,815,2.70356013,310.7333932,14.4,112.7160648,56,5.7,-3.1,11.07326184,0.614652368
951,2014-01-21,1830,-4.435183604,445.3445411,6.84,94.76412037,87,-1.8,-4.4,4.130494848,-2.43390103
951,2014-01-22,1025,-2.445905718,357.2835001,13.68,120.3703704,60,1.4,-6.6,7.03649282,-3.072701436
951,2014-01-23,977,3.759065727,288.0464447,4.68,155.0925926,48,4.6,-5.8,12.72591937,-1.054816125
951,2014-01-24,1289,,295.6877309,9.72,105.1868519,64,10.6,3.4,16.37387373,6.714774746
951,2014-01-25,1747,,292.189637,8.28,51.67916667,73,12.8,7.4,17.00348657,9.860697314
951,2014-01-26,3188,0.490423492,286.6972127,11.16,160.8796296,46,3.4,-7.4,10.29338771,-2.781322457
951,2014-01-27,730,8.275283005,134.3127092,4.68,160.8796296,22,8.6,-7,16.87613392,-0.664773215
951,2014-01-28,514,6.439769684,295.2733605,14.04,127.3148148,58,8.7,0.3,14.45323678,3.970647356
951,2014-01-29,1013,,147.5157049,11.16,145.8333333,26,12.6,-2.2,19.16312353,3.552624705
951,2014-01-30,1127,7.177014007,333.5701031,10.8,29.06171296,87,8.9,6.3,11.85507798,7.671015596
951,2014-01-31,3028,,180.2763817,11.88,163.1944444,33,13,-0.4,19.82761517,4.985523035
951,2014-02-01,4753,,239.2807383,14.4,130.787037,61,18,10.2,23.78798565,13.69759713
951,2014-02-02,3361,,277.5368205,18,57.37569444,84,15.2,12,18.77869734,13.67573947
951,2014-02-03,761,5.088950214,362.8887918,5.04,105.3390278,91,5.9,4.1,12.51623227,5.963246455
951,2014-02-04,760,-7.812876853,263.2769865,18,173.6111111,36,-2.3,-15.1,3.925149007,-10.0149702
951,2014-02-05,652,-2.822724518,206.8043089,7.2,137.7314815,29,-0.3,-14.5,6.774445329,-8.825110934
951,2014-02-06,941,2.529748978,234.7053152,9,145.8333333,37,4.7,-7.9,11.62614548,-2.734770904
951,2014-02-07,1060,,265.2512429,2.16,83.87222222,48,8.3,-2.1,14.86571907,2.333143813
951,2014-02-08,1213,2.071415516,383.0063769,7.2,45.47837963,86,3.9,1.1,7.965165924,2.753033185
951,2014-02-09,3286,-1.403154995,416.8801713,6.48,73.3025,86,0.7,-2.1,5.97255111,-0.205489778
951,2014-02-10,1097,2.291295112,370.5189819,4.68,130.787037,71,3.3,-2.5,10.76207022,0.732414043
951,2014-02-11,1220,4.967515149,269.1693957,6.84,167.8240741,46,6.3,-4.5,14.19216388,0.318432777
951,2014-02-12,1001,5.524055166,263.7460094,5.76,128.4722222,45,6.5,-4.5,13.63783526,0.227567052
951,2014-02-13,1085,,275.5630211,3.96,118.0555556,48,6.6,-3.8,13.87010217,0.774020434
951,2014-02-14,1462,,258.8424324,2.52,166.6666667,44,6.6,-4.6,15.72141508,0.584283015
951,2014-02-15,2807,4.887132502,217.5537613,12.96,189.8148148,36,7.3,-5.5,14.48818291,-0.222363418
951,2014-02-16,4090,,158.3102245,8.28,127.3148148,27,10.6,-4,17.19768208,1.699536415
951,2014-02-17,626,6.678101907,331.5636484,5.04,74.81953704,69,7.3,1.1,12.8760107,4.075202141
951,2014-02-18,893,4.836335366,295.3872083,5.76,127.3148148,52,5.9,-3.7,13.0056101,0.601122021
951,2014-02-19,965,6.556236556,217.5537613,5.4,179.3981481,36,7.3,-5.5,15.83274223,0.046548446
951,2014-02-20,824,3.122267191,288.3769756,9,192.1296296,49,5.2,-5,13.14987648,-0.350024704
951,2014-02-21,836,3.792767701,218.5016679,9.72,204.8611111,35,5.9,-7.1,13.95779688,-1.588440625
951,2014-02-22,2244,5.975296281,214.9091444,10.8,203.7037037,36,7.9,-4.9,15.723621,0.5047242
951,2014-02-23,3651,7.363883742,209.2651412,11.88,197.9166667,36,9.2,-3.6,16.71895583,1.743791167
951,2014-02-24,880,,209.1931977,8.28,204.8611111,38,11.3,-1.1,19.66915623,4.293831245
951,2014-02-25,1183,,208.8521044,8.28,189.8148148,40,13.2,1.2,21.25595378,6.411190756
951,2014-02-26,873,,232.88197,16.2,63.11976852,44,11.4,0.2,15.28036038,4.336072076
951,2014-02-27,1093,,273.0007474,10.8,196.7592593,61,12.9,5.1,20.58910746,8.977821493
951,2014-02-28,1126,9.325108017,302.9951155,6.12,145.8333333,65,9.9,2.9,17.4194468,6.503889361
951,2014-03-01,1883,5.770015225,354.9573554,5.04,34.91273148,95,6.5,5.5,10.30897397,6.561794794
951,2014-03-02,3544,6.446957434,237.308358,16.92,196.7592593,42,9,-2.6,15.75880739,2.231761478
951,2014-03-03,808,,134.1376053,6.84,225.6944444,23,11.4,-4,20.55228213,2.450456427
951,2014-03-04,809,,214.8264371,7.92,116.8981481,39,11,-1.2,17.38520465,3.737040931
951,2014-03-05,526,2.015175951,206.7496935,24.12,232.6388889,33,6.1,-7.3,12.62794753,-1.974410494
951,2014-03-06,585,2.490314876,155.7544514,10.8,203.7037037,24,5,-10.2,12.823621,-4.0752758
951,2014-03-07,640,2.015057803,167.6063261,16.56,233.7962963,26,5.4,-9.4,12.81728193,-3.476543614
951,2014-03-08,2254,4.301323612,186.4861567,14.4,181.712963,30,7,-7,13.8224137,-1.435517261
951,2014-03-09,2166,1.774331886,322.4599689,18.36,194.4444444,59,5.4,-2.8,11.94613059,0.969226118
951,2014-03-10,661,4.095172913,254.9643321,11.88,241.8981481,43,6.5,-4.9,14.81251844,0.182503688
951,2014-03-11,845,,83.79558784,7.2,238.4259259,15,14,-3,23.30791748,3.961583495
951,2014-03-12,501,,285.5699555,27.72,26.13855035,63,11.7,4.3,13.78110942,6.936221885
951,2014-03-13,538,5.15054782,349.4758977,7.92,55.29015625,99,6.7,6.5,11.09131827,7.438263654
951,2014-03-14,779,4.109243513,299.6299653,14.04,211.8055556,55,6.8,-2.2,14.2206415,1.9841283
951,2014-03-15,2941,,218.1295195,6.84,244.212963,43,13.6,2.2,23.12035892,7.524071783
951,2014-03-16,4131,,208.9869882,6.12,243.0555556,47,18,7.4,27.70756408,12.52151282
951,2014-03-17,701,,202.2255732,9.36,171.2962963,48,19.9,9.5,27.33637562,14.10727512
951,2014-03-18,754,,276.6362773,7.92,202.5462963,81,15.3,11.5,23.70491178,14.32098236
951,2014-03-19,848,,245.3864728,8.64,145.8333333,54,14.7,5.5,21.69270901,9.658541801
951,2014-03-20,653,5.532644291,310.9755831,17.28,232.6388889,63,8.3,0.9,15.60060721,4.580121443
951,2014-03-21,1091,5.533722194,236.0342253,18.36,253.4722222,41,8.4,-3.4,15.87398259,1.634796517
951,2014-03-22,3960,,196.2530582,7.56,258.1018519,39,15.2,3,24.784585,8.576917
951,2014-03-23,5684,,152.8815362,9.36,263.8888889,29,15.9,1.7,25.12991889,7.805983777
951,2014-03-24,722,,192.4798301,8.64,246.5277778,41,17.7,5.9,26.79180234,11.25836047
951,2014-03-25,816,,279.3807185,15.12,60.20914352,79,14.9,10.7,18.77044959,12.73408992
