瘤痢,瘤痢疙,老矫,扁柯(∑C),嚼档(%)
424,碍合*,2020-01-01 01:00,-5.5,45
424,碍合*,2020-01-01 02:00,-5.4,48
424,碍合*,2020-01-01 03:00,-5.4,50
424,碍合*,2020-01-01 04:00,-5,52
424,碍合*,2020-01-01 05:00,-4.8,54
424,碍合*,2020-01-01 06:00,-4.8,58
424,碍合*,2020-01-01 07:00,-4.8,64
424,碍合*,2020-01-01 08:00,-4.9,68
424,碍合*,2020-01-01 09:00,-4.7,74
424,碍合*,2020-01-01 10:00,-4.2,83
424,碍合*,2020-01-01 11:00,-3.8,83
424,碍合*,2020-01-01 12:00,-2.6,76
424,碍合*,2020-01-01 13:00,-1.2,73
424,碍合*,2020-01-01 14:00,-.1,68
424,碍合*,2020-01-01 15:00,-.3,68
424,碍合*,2020-01-01 16:00,.2,69
424,碍合*,2020-01-01 17:00,.5,69
424,碍合*,2020-01-01 18:00,.3,70
424,碍合*,2020-01-01 19:00,.1,70
424,碍合*,2020-01-01 20:00,.2,72
424,碍合*,2020-01-01 21:00,-.1,72
424,碍合*,2020-01-01 22:00,-.3,74
424,碍合*,2020-01-01 23:00,-.2,75
424,碍合*,2020-01-02 00:00,-.2,76
424,碍合*,2020-01-02 01:00,-.3,75
424,碍合*,2020-01-02 02:00,-.2,75
424,碍合*,2020-01-02 03:00,0,76
424,碍合*,2020-01-02 04:00,0,77
424,碍合*,2020-01-02 05:00,.1,76
424,碍合*,2020-01-02 06:00,0,76
424,碍合*,2020-01-02 07:00,.2,76
424,碍合*,2020-01-02 08:00,-.5,77
424,碍合*,2020-01-02 09:00,.1,73
424,碍合*,2020-01-02 10:00,.6,69
424,碍合*,2020-01-02 11:00,1.7,63
424,碍合*,2020-01-02 12:00,2.3,63
424,碍合*,2020-01-02 13:00,3.4,62
424,碍合*,2020-01-02 14:00,4.3,61
424,碍合*,2020-01-02 15:00,4.1,63
424,碍合*,2020-01-02 16:00,4,62
424,碍合*,2020-01-02 17:00,3.8,64
424,碍合*,2020-01-02 18:00,3.2,65
424,碍合*,2020-01-02 19:00,2.7,64
424,碍合*,2020-01-02 20:00,2,68
424,碍合*,2020-01-02 21:00,1.3,75
424,碍合*,2020-01-02 22:00,.7,77
424,碍合*,2020-01-02 23:00,.5,80
424,碍合*,2020-01-03 00:00,.1,81
424,碍合*,2020-01-03 01:00,.7,80
424,碍合*,2020-01-03 02:00,.3,83
424,碍合*,2020-01-03 03:00,.2,75
424,碍合*,2020-01-03 04:00,-.8,84
424,碍合*,2020-01-03 05:00,-1,84
424,碍合*,2020-01-03 06:00,-1.4,85
424,碍合*,2020-01-03 07:00,-1.9,84
424,碍合*,2020-01-03 08:00,-2.2,85
424,碍合*,2020-01-03 09:00,-2.3,86
424,碍合*,2020-01-03 10:00,-.3,80
424,碍合*,2020-01-03 11:00,1.2,65
424,碍合*,2020-01-03 12:00,2.3,46
424,碍合*,2020-01-03 13:00,3.5,37
424,碍合*,2020-01-03 14:00,4.6,31
424,碍合*,2020-01-03 15:00,4.9,30
424,碍合*,2020-01-03 16:00,5,30
424,碍合*,2020-01-03 17:00,3.7,34
424,碍合*,2020-01-03 18:00,2.9,40
424,碍合*,2020-01-03 19:00,2.5,42
424,碍合*,2020-01-03 20:00,1.8,46
424,碍合*,2020-01-03 21:00,1.2,50
424,碍合*,2020-01-03 22:00,.7,57
424,碍合*,2020-01-03 23:00,.2,58
424,碍合*,2020-01-04 00:00,-.2,62
424,碍合*,2020-01-04 01:00,-.7,64
424,碍合*,2020-01-04 02:00,-1.4,64
424,碍合*,2020-01-04 03:00,-1.9,67
424,碍合*,2020-01-04 04:00,-2,68
424,碍合*,2020-01-04 05:00,-2.1,69
424,碍合*,2020-01-04 06:00,-1.8,67
424,碍合*,2020-01-04 07:00,-1.7,67
424,碍合*,2020-01-04 08:00,-1.5,68
424,碍合*,2020-01-04 09:00,-1.1,67
424,碍合*,2020-01-04 10:00,-.4,66
424,碍合*,2020-01-04 11:00,1,63
424,碍合*,2020-01-04 12:00,3.9,55
424,碍合*,2020-01-04 13:00,6.2,47
424,碍合*,2020-01-04 14:00,6.6,41
424,碍合*,2020-01-04 15:00,6.3,41
424,碍合*,2020-01-04 16:00,6.1,44
424,碍合*,2020-01-04 17:00,4.9,44
424,碍合*,2020-01-04 18:00,4.3,47
424,碍合*,2020-01-04 19:00,4.3,46
424,碍合*,2020-01-04 20:00,3.6,46
424,碍合*,2020-01-04 21:00,2.8,47
424,碍合*,2020-01-04 22:00,2.3,50
424,碍合*,2020-01-04 23:00,1.9,50
424,碍合*,2020-01-05 00:00,1.3,52
424,碍合*,2020-01-05 01:00,1.2,52
424,碍合*,2020-01-05 02:00,.2,57
424,碍合*,2020-01-05 03:00,-.2,57
424,碍合*,2020-01-05 04:00,-.8,62
424,碍合*,2020-01-05 05:00,-1.6,65
424,碍合*,2020-01-05 06:00,-2,67
424,碍合*,2020-01-05 07:00,-2.1,66
424,碍合*,2020-01-05 08:00,-2.6,69
424,碍合*,2020-01-05 09:00,-2.1,68
424,碍合*,2020-01-05 10:00,.1,61
424,碍合*,2020-01-05 11:00,1.5,55
424,碍合*,2020-01-05 12:00,3.5,43
424,碍合*,2020-01-05 13:00,5.2,40
424,碍合*,2020-01-05 14:00,5.4,38
424,碍合*,2020-01-05 15:00,5.9,38
424,碍合*,2020-01-05 16:00,5.7,38
424,碍合*,2020-01-05 17:00,5.6,38
424,碍合*,2020-01-05 18:00,4.7,44
424,碍合*,2020-01-05 19:00,4,49
424,碍合*,2020-01-05 20:00,3.5,50
424,碍合*,2020-01-05 21:00,2.9,54
424,碍合*,2020-01-05 22:00,1.9,58
424,碍合*,2020-01-05 23:00,1.4,55
424,碍合*,2020-01-06 00:00,1.3,56
424,碍合*,2020-01-06 01:00,1.1,55
424,碍合*,2020-01-06 02:00,.9,56
424,碍合*,2020-01-06 03:00,.9,57
424,碍合*,2020-01-06 04:00,.9,59
424,碍合*,2020-01-06 05:00,1.4,57
424,碍合*,2020-01-06 06:00,1.4,57
424,碍合*,2020-01-06 07:00,1.8,56
424,碍合*,2020-01-06 08:00,2.6,58
424,碍合*,2020-01-06 09:00,2.5,51
424,碍合*,2020-01-06 10:00,3,51
424,碍合*,2020-01-06 11:00,3.7,52
424,碍合*,2020-01-06 12:00,4.6,60
424,碍合*,2020-01-06 13:00,4.2,67
424,碍合*,2020-01-06 14:00,3.8,76
424,碍合*,2020-01-06 15:00,4.3,78
424,碍合*,2020-01-06 16:00,3.5,85
424,碍合*,2020-01-06 17:00,3.4,89
424,碍合*,2020-01-06 18:00,3.7,92
424,碍合*,2020-01-06 19:00,3.8,95
424,碍合*,2020-01-06 20:00,4.2,95
424,碍合*,2020-01-06 21:00,4.2,97
424,碍合*,2020-01-06 22:00,4.3,97
424,碍合*,2020-01-06 23:00,4.1,97
424,碍合*,2020-01-07 00:00,4.7,97
424,碍合*,2020-01-07 01:00,5,97
424,碍合*,2020-01-07 02:00,5.5,97
424,碍合*,2020-01-07 03:00,5.5,97
424,碍合*,2020-01-07 04:00,6,97
424,碍合*,2020-01-07 05:00,5.1,97
424,碍合*,2020-01-07 06:00,5,97
424,碍合*,2020-01-07 07:00,5.2,97
424,碍合*,2020-01-07 08:00,5.2,97
424,碍合*,2020-01-07 09:00,5.2,97
424,碍合*,2020-01-07 10:00,5.5,97
424,碍合*,2020-01-07 11:00,5.8,97
424,碍合*,2020-01-07 12:00,6.6,97
424,碍合*,2020-01-07 13:00,6.3,97
424,碍合*,2020-01-07 14:00,6.3,97
424,碍合*,2020-01-07 15:00,6.6,97
424,碍合*,2020-01-07 16:00,6.5,97
424,碍合*,2020-01-07 17:00,6.5,97
424,碍合*,2020-01-07 18:00,6.7,97
424,碍合*,2020-01-07 19:00,6.7,97
424,碍合*,2020-01-07 20:00,7,97
424,碍合*,2020-01-07 21:00,7,97
424,碍合*,2020-01-07 22:00,7.4,97
424,碍合*,2020-01-07 23:00,7.7,97
424,碍合*,2020-01-08 00:00,7.9,97
424,碍合*,2020-01-08 01:00,7.5,97
424,碍合*,2020-01-08 02:00,7.2,97
424,碍合*,2020-01-08 03:00,6.1,97
424,碍合*,2020-01-08 04:00,3.8,89
424,碍合*,2020-01-08 05:00,3.1,90
424,碍合*,2020-01-08 06:00,3,92
424,碍合*,2020-01-08 07:00,3,88
424,碍合*,2020-01-08 08:00,3.3,90
424,碍合*,2020-01-08 09:00,3.8,90
424,碍合*,2020-01-08 10:00,4.6,88
424,碍合*,2020-01-08 11:00,4.7,87
424,碍合*,2020-01-08 12:00,5.2,85
424,碍合*,2020-01-08 13:00,5.1,86
424,碍合*,2020-01-08 14:00,5.7,82
424,碍合*,2020-01-08 15:00,5.3,83
424,碍合*,2020-01-08 16:00,4.9,85
424,碍合*,2020-01-08 17:00,4.8,86
424,碍合*,2020-01-08 18:00,4.6,86
424,碍合*,2020-01-08 19:00,3,89
424,碍合*,2020-01-08 20:00,2.3,90
424,碍合*,2020-01-08 21:00,1.2,88
424,碍合*,2020-01-08 22:00,.6,90
424,碍合*,2020-01-08 23:00,.5,82
424,碍合*,2020-01-09 00:00,.5,75
424,碍合*,2020-01-09 01:00,.6,72
424,碍合*,2020-01-09 02:00,.3,74
424,碍合*,2020-01-09 03:00,.1,74
424,碍合*,2020-01-09 04:00,-.2,75
424,碍合*,2020-01-09 05:00,-.4,75
424,碍合*,2020-01-09 06:00,-1.2,74
424,碍合*,2020-01-09 07:00,-1.1,74
424,碍合*,2020-01-09 08:00,-1.7,75
424,碍合*,2020-01-09 09:00,-1.3,71
424,碍合*,2020-01-09 10:00,-1.3,67
424,碍合*,2020-01-09 11:00,-.3,63
424,碍合*,2020-01-09 12:00,.7,62
424,碍合*,2020-01-09 13:00,.8,56
424,碍合*,2020-01-09 14:00,2,55
424,碍合*,2020-01-09 15:00,2.4,55
424,碍合*,2020-01-09 16:00,2.6,55
424,碍合*,2020-01-09 17:00,1.8,61
424,碍合*,2020-01-09 18:00,.7,62
424,碍合*,2020-01-09 19:00,.4,64
424,碍合*,2020-01-09 20:00,0,66
424,碍合*,2020-01-09 21:00,-.4,68
424,碍合*,2020-01-09 22:00,-.8,70
424,碍合*,2020-01-09 23:00,-1.3,73
424,碍合*,2020-01-10 00:00,-1.6,76
424,碍合*,2020-01-10 01:00,-2,78
424,碍合*,2020-01-10 02:00,-2.3,79
424,碍合*,2020-01-10 03:00,-2.6,82
