system:index,date,day,month,solar_radiation,year,.geo
20220101,2022-01-01,1.0,1.0,1.0198428E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,2.0,1.0,9975492.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,3.0,1.0,9505984.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,4.0,1.0,1.0806836E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,5.0,1.0,6418320.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,6.0,1.0,1.0814216E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,7.0,1.0,1.082702E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,8.0,1.0,7340876.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,9.0,1.0,9797424.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,10.0,1.0,8033040.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,11.0,1.0,1.1550804E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,12.0,1.0,1.1163564E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,13.0,1.0,1.1464376E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,14.0,1.0,1.1574228E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,15.0,1.0,5216472.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,16.0,1.0,1.1804076E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,17.0,1.0,8738144.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,18.0,1.0,1.1973504E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,19.0,1.0,4351468.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,20.0,1.0,1.2231608E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,21.0,1.0,1.2296032E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,22.0,1.0,8009528.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,23.0,1.0,1.0843E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,24.0,1.0,8846920.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,25.0,1.0,4716500.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,26.0,1.0,1.246348E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,27.0,1.0,1.2262196E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,28.0,1.0,1.3068176E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,29.0,1.0,1.3237184E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,30.0,1.0,1.342718E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,31.0,1.0,1.26931E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,1.0,2.0,1.1515688E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,2.0,2.0,1.3989556E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,3.0,2.0,1.4101552E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,4.0,2.0,1.3331132E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,5.0,2.0,1.3876576E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,6.0,2.0,1.44074E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,7.0,2.0,1.2228928E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,8.0,2.0,1.4387808E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,9.0,2.0,1.3878028E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,10.0,2.0,1.4561316E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,11.0,2.0,1.461204E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,12.0,2.0,1.4821812E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,13.0,2.0,1.07413E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,14.0,2.0,8495432.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,15.0,2.0,1.3768224E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,16.0,2.0,1.5836464E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,17.0,2.0,1.6679432E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,18.0,2.0,1.5578568E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,19.0,2.0,1.2017696E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,20.0,2.0,1.7047552E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,21.0,2.0,1.5403052E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,22.0,2.0,1.6440116E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,23.0,2.0,1.7659676E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,24.0,2.0,1.6873928E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,25.0,2.0,1.4940894E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,26.0,2.0,9457352.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
